year_label,year,ceremony_number,award_id,award_label,name,film,winner,ethnic_background,milestone-note
1927/28 (1st),1928,1,best_actor_leading_role,Best Actor in a Leading Role,Emil Jannings ,The Last CommandThe Way of All Flesh,TRUE,,
1927/28 (1st),1928,1,best_actor_leading_role,Best Actor in a Leading Role,Richard Barthelmess,The NooseThe Patent Leather Kid,FALSE,,
1928/29(2nd),1929,2,best_actor_leading_role,Best Actor in a Leading Role,Warner Baxter,In Old Arizona,TRUE,,
1928/29(2nd),1929,2,best_actor_leading_role,Best Actor in a Leading Role,George Bancroft,Thunderbolt,FALSE,,
1928/29(2nd),1929,2,best_actor_leading_role,Best Actor in a Leading Role,Chester Morris,Alibi,FALSE,,
1928/29(2nd,1929,2,best_actor_leading_role,Best Actor in a Leading Role,Paul Muni,The Valiant,FALSE,,
1928/29(2nd),1929,2,best_actor_leading_role,Best Actor in a Leading Role,Lewis Stone,The Patriot,FALSE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,George Arliss ,Disraeli,TRUE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,George Arliss,The Green Goddess,FALSE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,Wallace Beery,The Big House,FALSE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,Maurice Chevalier ,The Big Pond  The Love Parade,FALSE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,Ronald Colman ,Bulldog Drummond  Condemned,FALSE,,
1929/30 (3rd),1930,3,best_actor_leading_role,Best Actor in a Leading Role,Lawrence Tibbett,The Rogue Song,FALSE,,
1930/31 (4th),1931,4,best_actor_leading_role,Best Actor in a Leading Role,Lionel Barrymore,A Free Soul,TRUE,,
1930/31 (4th),1931,4,best_actor_leading_role,Best Actor in a Leading Role,Jackie Cooper,Skippy,FALSE,,
1930/31 (4th),1931,4,best_actor_leading_role,Best Actor in a Leading Role,Richard Dix,Cimarron,FALSE,,
1930/31 (4th),1931,4,best_actor_leading_role,Best Actor in a Leading Role,Fredric March,The Royal Family of Broadway,FALSE,,
1930/31 (4th),1931,4,best_actor_leading_role,Best Actor in a Leading Role,Adolphe Menjou,The Front Page,FALSE,,
1931/32 (5th),1932,5,best_actor_leading_role,Best Actor in a Leading Role,Wallace Beery  (TIE) ,The Champ,TRUE,,
1931/32 (5th),1932,5,best_actor_leading_role,Best Actor in a Leading Role,Fredric March  (TIE) ,Dr. Jekyll and Mr. Hyde,TRUE,,
1931/32 (5th),1932,5,best_actor_leading_role,Best Actor in a Leading Role,Alfred Lunt,The Guardsman,FALSE,,
1932/33 (6th),1933,6,best_actor_leading_role,Best Actor in a Leading Role,Charles Laughton,The Private Life of Henry VIII,TRUE,,
1932/33 (6th),1933,6,best_actor_leading_role,Best Actor in a Leading Role,Leslie Howard,Berkeley Square,FALSE,,
